respondentId,v38,v39,v63,v102,v103,v104,v105,v106,v107,v143,v144,v185,v186,v187,v188,v199,v200,v201,v202,v203,v149,v159,v150,v152,v153,v160,v154,v155,v156,v157,v158,v163
33,0.78,0.78,0.78,0.78,0.78,0.56,0.67,0.33,0.78,0.67,0.44,0.56,0.56,0.56,0.44,0.75,0.5,0.5,0.5,0.5,0.44,0.0,0.22,0.0,0.22,0.0,0.44,0.44,0.78,0.0,0.0,0.44
34,0.89,0.78,0.78,0.44,0.56,1.0,1.0,0.0,0.78,0.67,0.56,0.22,0.78,0.44,0.0,0.75,1.0,0.0,0.75,0.25,0.11,0.11,0.0,0.0,0.0,0.0,0.44,0.33,0.89,0.11,0.11,0.0
35,0.89,1.0,0.44,0.44,1.0,0.56,1.0,0.56,0.0,0.22,0.0,0.56,0.56,1.0,0.56,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
36,0.67,0.67,0.0,0.67,0.67,0.56,0.44,0.33,0.56,0.78,0.78,0.67,0.67,0.67,0.67,0.5,0.75,0.25,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.44,1.0,1.0,1.0,0.56,0.78,1.0
37,0.56,0.67,0.67,0.78,0.56,0.67,0.67,0.56,0.56,0.67,0.78,0.56,0.56,0.56,0.22,0.25,0.5,0.75,0.75,0.75,0.0,0.11,0.11,0.0,0.44,0.67,0.78,0.78,0.56,0.44,0.56,0.78
38,0.67,0.78,0.22,0.33,1.0,0.33,1.0,0.0,1.0,0.33,0.0,0.44,0.67,0.89,0.22,1.0,0.75,0.5,0.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
39,0.89,0.78,0.67,0.44,0.56,0.56,0.56,0.33,0.22,0.78,0.11,0.11,0.89,0.22,0.56,1.0,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.44,0.11,0.89,0.89,1.0,0.78,0.22,0.44
40,0.44,0.56,1.0,0.0,0.78,1.0,1.0,0.0,1.0,0.44,0.44,0.0,0.0,0.0,1.0,0.75,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.0,0.0,0.0
41,0.67,0.67,1.0,0.67,0.56,0.22,0.56,0.33,0.22,0.22,0.0,0.33,0.33,0.89,0.78,0.75,0.5,0.25,0.0,0.25,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
42,0.33,1.0,1.0,0.0,0.0,0.78,1.0,1.0,0.0,0.22,0.11,0.0,0.0,0.0,1.0,0.75,0.75,0.25,0.5,0.75,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.44,0.0,0.0,0.0,0.0
43,0.78,0.89,1.0,0.78,0.78,0.56,1.0,0.33,0.78,1.0,0.67,0.56,0.67,0.56,0.33,0.5,0.75,0.5,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.89,0.89,0.78,0.0,0.0,0.0
44,1.0,0.89,0.89,0.56,0.89,0.56,0.78,0.67,0.78,0.78,0.89,0.56,0.56,0.56,0.56,0.5,0.25,0.5,0.5,0.5,0.22,0.44,0.11,0.33,0.44,0.44,0.33,0.44,0.33,0.22,0.56,0.33
45,1.0,1.0,0.0,0.67,1.0,1.0,1.0,0.33,0.89,0.67,0.0,0.78,1.0,1.0,0.22,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
46,1.0,1.0,0.0,0.44,0.78,0.67,1.0,0.78,0.89,0.67,0.22,0.33,0.67,0.67,0.22,0.75,0.75,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.89,0.78,0.89,0.56,0.89,0.0,1.0,0.0
47,0.78,0.44,1.0,1.0,0.11,0.78,0.0,0.11,0.0,0.0,0.44,0.33,0.33,0.33,1.0,0.75,0.25,0.75,1.0,0.25,0.22,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.67,0.67,0.11,0.67,0.56,0.44,0.56,0.33,0.67,0.56,0.33,0.67,0.78,0.67,0.22,0.25,0.75,0.75,0.25,0.5,0.22,0.33,0.0,0.0,0.44,0.11,0.33,0.78,0.78,0.22,0.56,0.22
49,0.89,0.67,0.44,0.33,0.67,0.22,0.78,0.22,0.78,0.44,0.33,0.56,0.33,0.33,0.78,0.75,0.5,0.5,0.25,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.22,0.33,0.0,0.0,0.0,0.0
50,0.89,1.0,0.67,0.33,0.78,0.56,0.56,0.56,0.56,0.78,0.78,0.56,0.56,0.78,0.33,0.5,0.75,0.5,0.25,0.5,0.11,0.33,0.11,0.11,0.78,0.44,0.78,0.89,0.89,0.67,0.33,0.11
51,0.56,0.22,0.89,0.56,0.33,0.78,0.44,0.56,0.56,0.56,0.56,0.22,0.22,0.33,0.33,0.75,0.75,0.25,0.5,0.5,0.22,0.11,0.22,0.11,0.0,0.33,0.33,0.33,0.33,0.0,0.44,0.22
52,0.44,0.44,0.44,0.44,0.56,1.0,0.89,0.44,0.56,0.78,0.67,0.0,1.0,1.0,0.0,0.75,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.56,1.0,1.0,0.44,0.0,0.33,0.0
53,0.44,0.78,0.11,0.78,0.67,0.89,0.89,0.22,0.78,0.22,0.22,0.33,0.89,0.78,0.33,0.25,0.5,0.75,0.25,0.25,0.0,0.11,0.33,0.0,0.33,0.44,0.44,0.44,0.67,0.11,0.22,0.44
54,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,1.0,0.67,1.0,1.0,0.75,0.75,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44,0.0,0.0,0.0
55,0.67,0.78,0.0,0.11,0.56,0.33,0.33,0.78,0.22,0.56,0.22,0.22,0.67,0.78,0.44,0.75,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.56,0.78,1.0,0.89,1.0,0.78,0.0
56,0.33,0.11,0.0,0.44,0.89,1.0,1.0,0.22,0.0,0.44,0.0,0.33,0.56,0.67,0.22,0.0,0.0,1.0,1.0,1.0,0.22,0.22,0.44,0.11,0.0,0.0,0.78,0.78,0.56,0.11,0.89,0.56
57,0.33,0.0,0.78,0.44,0.22,1.0,1.0,1.0,0.56,0.11,0.0,0.89,0.89,1.0,1.0,0.75,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.33,0.78,0.44,0.0,0.0,0.44
58,0.78,0.78,0.67,0.56,0.67,0.67,0.78,0.67,0.89,0.78,0.78,1.0,0.22,0.11,0.78,0.75,0.75,0.25,0.25,0.5,0.22,0.22,0.11,0.11,0.89,0.67,0.78,0.44,0.78,0.11,0.89,0.0
59,0.11,0.67,0.0,0.56,0.44,0.78,1.0,0.11,0.56,0.33,0.22,0.56,0.22,0.11,0.56,0.75,0.75,0.75,0.25,0.5,0.0,0.11,0.0,0.0,0.33,0.11,0.44,0.89,0.67,0.0,0.56,0.0
60,0.56,0.67,0.0,0.89,0.56,0.78,1.0,0.89,0.44,0.56,0.44,0.22,0.78,0.22,0.33,0.75,0.0,0.25,1.0,0.75,0.22,0.22,0.0,0.0,0.56,0.22,0.56,0.56,0.33,0.44,0.22,0.11
61,0.89,1.0,0.89,0.44,0.67,0.22,1.0,0.56,0.56,1.0,0.78,0.22,1.0,0.78,0.67,0.5,1.0,0.25,0.25,0.25,0.22,0.22,0.0,0.0,0.33,0.0,0.0,0.44,0.0,0.11,0.0,0.0
62,0.78,0.89,0.89,0.78,0.78,0.44,0.67,0.89,0.89,0.33,0.33,0.44,0.44,0.44,0.67,0.5,0.75,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.89,0.11,0.89,0.89,0.89,0.78,0.33,0.0
63,1.0,0.67,1.0,0.56,0.22,0.56,0.56,0.56,0.56,0.0,0.0,0.56,0.67,0.67,0.67,1.0,0.0,1.0,0.0,1.0,0.0,0.67,0.44,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0
64,0.89,0.78,0.44,0.56,0.33,0.33,0.56,0.33,0.56,0.44,0.44,0.89,1.0,0.89,0.22,0.5,0.75,0.25,0.0,0.25,0.11,0.0,0.0,0.0,0.11,0.33,0.33,0.56,0.56,0.33,0.0,0.33
65,1.0,1.0,0.44,0.56,1.0,0.56,1.0,0.0,1.0,1.0,1.0,0.22,0.33,0.33,0.11,1.0,0.75,0.0,0.0,0.0,0.44,0.0,0.33,0.0,1.0,0.67,1.0,1.0,0.0,0.0,0.67,0.0
66,0.78,0.78,0.56,0.67,0.89,0.11,0.67,0.89,0.78,0.33,0.33,0.89,0.78,0.89,1.0,0.75,0.75,0.5,0.25,0.5,0.44,0.67,0.44,0.11,0.11,0.33,0.67,0.78,0.0,0.0,0.44,0.0
67,0.78,0.89,0.0,0.44,0.89,0.22,0.89,0.89,0.89,0.44,0.22,0.56,0.78,0.89,0.44,0.75,0.25,0.5,0.75,0.5,0.11,0.56,0.22,0.11,0.89,0.44,0.89,0.78,0.67,0.67,0.56,0.44
68,0.78,0.78,0.78,0.78,0.22,0.44,0.56,0.33,0.11,0.67,0.67,0.56,0.78,0.89,0.33,0.5,0.5,0.5,0.5,0.5,0.44,0.56,0.33,0.33,0.22,0.22,0.78,0.78,0.11,0.0,0.33,0.22
69,0.78,0.22,0.0,1.0,0.78,0.89,0.89,0.11,0.89,0.89,0.78,1.0,0.89,0.89,0.0,0.25,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,0.0,0.0,0.0
70,0.89,0.78,0.0,0.56,0.56,0.56,0.11,0.44,0.44,0.89,0.67,0.0,1.0,1.0,0.0,0.0,0.25,0.25,0.75,0.25,0.0,0.0,0.0,0.0,1.0,0.44,0.67,1.0,1.0,0.67,0.78,0.0
71,0.44,0.44,0.11,0.11,0.22,0.11,0.44,0.56,0.44,0.11,0.11,0.22,0.22,0.33,0.44,0.5,0.5,0.75,0.5,0.25,0.44,0.33,0.22,0.56,0.78,0.67,0.67,0.78,0.56,0.33,0.67,0.67
72,0.67,0.67,0.33,0.11,0.89,0.11,0.67,0.78,0.0,0.44,0.11,0.0,0.0,0.0,0.22,1.0,0.75,0.25,0.25,0.25,0.89,0.22,0.0,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
73,0.78,0.89,0.0,0.78,0.78,0.11,0.44,0.67,0.33,0.56,0.56,0.89,0.89,0.78,0.22,0.75,0.25,0.5,0.75,0.5,0.0,0.22,0.11,0.0,1.0,0.56,0.67,1.0,0.78,0.33,0.11,0.11
74,0.78,0.89,0.33,0.78,0.56,0.67,0.89,0.44,0.89,0.78,0.67,0.11,0.56,0.67,0.22,0.5,1.0,0.25,0.0,0.25,0.22,0.0,0.11,0.0,1.0,0.22,1.0,0.67,0.56,0.22,0.33,0.0
75,1.0,0.78,1.0,1.0,0.56,0.78,0.89,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.89,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.44,0.0,0.0,0.0,0.33
76,0.67,1.0,0.11,0.44,0.56,0.78,0.56,0.44,0.44,1.0,1.0,0.67,1.0,0.78,0.56,0.5,0.75,0.0,0.5,0.0,0.22,0.0,0.0,0.0,0.78,0.56,1.0,1.0,1.0,0.44,0.11,0.0
77,0.67,0.78,0.89,0.67,0.78,0.78,0.56,0.44,0.78,0.78,0.78,0.67,0.22,0.22,0.78,0.25,0.75,0.25,0.25,0.25,0.78,0.33,0.11,0.11,1.0,0.44,1.0,0.89,0.78,1.0,1.0,0.11
78,0.67,1.0,0.56,0.0,0.67,0.44,1.0,1.0,1.0,0.11,0.44,0.0,0.0,0.0,1.0,0.75,0.75,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.44,1.0,0.56,0.56,0.0,0.0,0.0
79,0.56,0.56,0.89,0.22,0.11,0.89,0.44,0.56,0.44,0.56,0.56,0.89,0.89,0.89,0.89,0.25,0.25,0.5,0.5,0.25,0.11,0.0,0.0,0.0,0.0,0.22,0.22,0.33,0.0,0.0,0.33,0.0
80,0.44,0.44,0.0,0.11,0.22,0.89,0.22,0.22,0.22,0.11,0.11,0.22,0.56,0.22,0.11,0.25,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,1.0,0.22,0.89,0.89,0.78,0.78,0.0,0.44,0.89,0.89,0.56,0.56,0.56,0.56,0.75,0.75,0.5,0.25,0.25,0.56,1.0,0.56,0.11,0.11,1.0,0.56,1.0,0.11,0.11,1.0,0.78
82,0.89,0.89,0.89,0.78,0.67,0.44,0.89,0.22,0.56,0.67,0.89,0.11,0.67,0.33,0.78,0.75,0.75,0.25,0.25,0.25,0.0,0.33,0.0,0.11,1.0,0.22,0.22,0.56,0.22,0.56,0.22,0.0
83,1.0,0.89,1.0,0.44,0.0,0.0,1.0,0.22,0.33,0.78,0.67,0.22,0.67,0.33,0.22,0.75,0.5,0.75,0.5,0.5,0.56,0.11,0.67,0.56,0.56,0.22,0.67,0.56,0.22,0.0,0.11,0.22
84,0.78,0.78,0.78,1.0,0.0,0.0,1.0,1.0,0.0,0.78,0.67,0.0,1.0,1.0,0.0,0.25,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.33,0.44,0.67,0.0,0.0,0.67,0.0
85,1.0,0.89,0.0,0.33,1.0,0.0,1.0,0.56,0.33,1.0,0.0,0.0,0.78,1.0,0.0,0.0,1.0,0.5,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
86,0.78,0.89,0.33,0.78,0.67,0.44,0.89,0.0,0.89,0.89,0.78,0.22,0.78,0.78,0.56,0.75,0.75,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.89,0.44,0.78,0.78,0.78,0.0,0.22,0.44
87,0.67,0.67,0.56,0.56,0.33,0.0,0.67,0.22,0.67,0.67,0.67,0.0,0.0,0.33,0.44,0.75,0.75,0.75,0.25,0.5,0.0,0.67,0.0,0.0,0.0,0.33,0.0,0.44,0.56,0.0,0.56,0.0
88,0.78,0.78,1.0,0.56,1.0,0.78,1.0,0.33,0.89,0.89,0.67,0.11,0.56,0.56,0.44,0.5,0.25,0.75,0.5,0.75,0.0,0.0,0.0,0.0,0.44,0.11,0.33,0.33,0.0,0.0,0.11,0.33
89,0.78,0.78,1.0,0.67,0.11,1.0,1.0,0.89,0.44,0.67,0.33,0.11,0.0,0.0,1.0,0.75,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.89
90,0.56,0.78,0.22,0.44,0.44,1.0,0.56,0.56,0.56,0.44,0.22,0.78,1.0,1.0,0.0,0.75,0.25,0.5,0.75,0.25,0.0,0.0,0.0,0.44,0.44,0.44,0.44,0.44,0.44,0.0,0.44,1.0
91,0.56,0.56,1.0,0.44,0.22,0.22,0.0,0.0,0.22,0.67,0.22,0.56,0.89,0.33,0.56,0.25,0.5,0.75,0.25,0.75,0.67,0.67,0.67,0.11,0.44,0.0,0.11,0.44,0.11,0.0,0.44,0.22
92,0.44,0.44,1.0,0.0,0.0,0.89,0.89,0.0,0.89,0.56,0.56,0.11,0.0,0.22,0.89,0.75,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.89,0.67,0.0,0.67,1.0,1.0,1.0,0.0,1.0,1.0,0.44,0.44,1.0,0.89,0.56,0.0,0.25,0.5,0.25,0.5,0.0,0.11,0.0,0.0,1.0,0.44,1.0,1.0,0.44,0.44,0.78,0.22
94,0.78,0.89,0.56,0.44,0.33,0.56,0.78,0.67,0.67,0.67,0.67,0.67,0.56,1.0,0.0,0.5,0.0,0.75,0.25,0.25,0.0,0.11,0.44,0.0,0.22,0.11,0.67,0.67,0.89,0.33,0.56,0.78
95,0.44,0.44,0.0,0.22,0.11,0.56,0.56,0.89,0.11,0.33,0.33,0.11,0.22,0.22,0.44,1.0,0.0,0.25,0.25,0.25,0.11,0.56,0.0,0.0,1.0,0.0,1.0,1.0,0.78,0.78,0.89,0.0
96,0.67,0.89,1.0,0.56,0.56,0.22,1.0,0.22,0.67,0.56,0.22,0.22,0.78,0.78,0.78,1.0,0.75,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
97,0.56,0.67,0.89,0.22,0.33,0.78,1.0,0.56,0.56,0.89,0.67,0.67,0.78,0.78,0.67,0.0,0.75,0.25,0.25,0.25,0.11,0.33,0.11,0.0,0.11,0.56,0.78,0.78,0.89,0.67,0.11,0.67
98,1.0,1.0,1.0,0.22,0.78,0.89,1.0,0.0,1.0,0.67,0.0,0.33,0.0,0.11,1.0,0.75,0.25,0.25,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.11,0.56,0.0,0.0,0.0,0.0
99,0.0,0.78,1.0,0.78,0.0,0.0,0.0,0.0,0.22,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0,0.78,0.0,0.44,0.56,0.67,1.0,0.56,0.56,1.0,0.78,0.0,0.56,0.56,1.0,0.5,0.75,0.0,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.56,0.0,0.44,0.22
101,0.56,0.33,0.78,0.44,0.56,0.56,0.67,0.67,0.67,0.22,0.56,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,0.5,0.0,0.22,0.0,0.0,0.0,0.0,0.33,0.67,0.22,0.0,0.44,0.0
102,0.89,0.78,0.56,1.0,0.0,0.0,0.0,0.11,0.0,0.89,0.89,0.89,0.89,1.0,1.0,0.0,0.25,0.5,0.75,0.25,0.11,0.78,0.11,0.0,0.0,0.89,1.0,1.0,1.0,0.0,0.89,1.0
103,0.67,0.56,1.0,0.44,1.0,1.0,1.0,1.0,0.0,0.33,0.33,0.0,1.0,0.0,0.78,0.75,0.25,0.5,0.25,0.25,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,0.0,0.0,0.44
104,0.78,1.0,1.0,0.67,0.22,0.56,0.56,0.56,0.22,0.89,0.89,0.56,0.22,0.44,0.22,0.75,0.75,0.5,0.25,0.25,0.44,0.67,0.0,0.89,0.56,0.22,0.11,0.22,0.0,0.0,0.0,0.0
105,0.56,0.44,0.67,0.11,0.11,0.89,0.78,0.89,0.22,0.89,0.78,0.78,0.78,0.78,0.22,1.0,0.75,0.0,0.0,0.25,0.67,1.0,0.33,0.44,1.0,0.67,0.0,0.11,0.56,0.56,0.0,0.44
